rating,title,text,timestamp,helpful_vote,verified_purchase,cleaned_title,cleaned_text,combined_text,sentiment,year,Topic
5.0,"Durable, and extra long length",Very nice and durable. Love the length.,2017-06-29 18:40:11,0,True,durable extra long length,nice durable love length,durable extra long length nice durable love length,positive,2017,Screen Protector
5.0,Great Value,Awesome product; it charges just as fast as the cord that came with my phone. I keep it in the car as you never know when someone needs to charge a phone or tablet and this way you only need one cable. The retraction also works well and it is easy to roll up when you are done using it. This is a great value.,2016-12-08 21:55:55,0,True,great value,awesome product charge fast cord came phone keep car never know someone need charge phone tablet way need one cable retraction also work well easy roll done using great value,great value awesome product charge fast cord came phone keep car never know someone need charge phone tablet way need one cable retraction also work well easy roll done using great value,positive,2016,Phone Charger
5.0,gorgeous deep jewel tone purple with pretty design; functional secure wallet,"I pretty much only use wallet cases like these- more protection than just a holder. I had an expensive wallet case for my 3XL, and seems they don't have one yet for the 4XL. I needed something in the meantime, so I took a chance on ordering this case. I must say, the color is outstanding. It is a deep, gorgeous purple. On my end, darker than what is pictured. Clearly purple, but almost a black purple, if that makes sense. I also love the design on the front cover and magnetic closure tab. The rear is plain yet also attractive. The optional strap that comes with it seems sturdy enough. I have it attached though I don't often find myself using it. I like that I can take it off if I find it irksome.<br /><br />The interior has 3 slots for bank cards (or whatever) as well as a longer slot for paper money. As with every wallet case I have ever had, the opening isn't long enough to just slide money into. I always have to fold it. Not a problem as I usually just carry a little extra cash, and leave my wads of money (lol) for my actual wallet.<br /><br />The magnetic closure is sturdy and solid. It grabs the case and keeps it closed. Easy to open as needed.<br /><br />Built in kick stand is basically just allowing the phone to rest horizontally on the inside cover. It works.<br /><br />I am so impressed by the color that I want the other two colors as well, just to swap out.<br /><br />The cut-out around the rear camera is perfect. Zero issues. No haziness or other obstruction.<br /><br />If you are a fan of wallet style phone cases AND use it to hold bank card in the slots, then you should also get a screen protector. I say this because on my 3XL with another wallet case, the cards began to etch the screen. I don't think it is a matter of the brand of wallet or the quality, just the reality of a hard card hitting the screen over and over. So I made sure to buy a screen protector this time around. Now if there is any scratching, it will be on the protector and not the actual phone.<br /><br />For what it is worth, I like the wallet style not so much for the wallet part, but that it adds an extra level of protection that a non wallet/cover style case offers. I just prefer to have my phone covered from all sides. The interior of the case has the part that holds onto the phone, and it does so well. But I like the wallet aspect too. I tend to just go into the store with my phone rather than bring in a purse. So... No complaints!<br /><br />No complaints whatsoever. :)<br />If I have any, I iwll be back to update<br /><br />Truly, thanks for making a nice looking, budget friendly, functional case.",2019-11-12 19:41:16,0,True,gorgeous deep jewel tone purple pretty design functional secure wallet,pretty much use wallet case like protection holder expensive wallet case 3xl seems dont one yet 4xl needed something meantime took chance ordering case must say color outstanding deep gorgeous purple end darker pictured clearly purple almost black purple make sense also love design front cover magnetic closure tab rear plain yet also attractive optional strap come seems sturdy enough attached though dont often find using like take find irksomebr br interior 3 slot bank card whatever well longer slot paper money every wallet case ever opening isnt long enough slide money always fold problem usually carry little extra cash leave wad money lol actual walletbr br magnetic closure sturdy solid grab case keep closed easy open neededbr br built kick stand basically allowing phone rest horizontally inside cover worksbr br impressed color want two color well swap outbr br cutout around rear camera perfect zero issue haziness obstructionbr br fan wallet style phone case use hold bank card slot also get screen protector say 3xl another wallet case card began etch screen dont think matter brand wallet quality reality hard card hitting screen made sure buy screen protector time around scratching protector actual phonebr br worth like wallet style much wallet part add extra level protection non walletcover style case offer prefer phone covered side interior case part hold onto phone well like wallet aspect tend go store phone rather bring purse complaintsbr br complaint whatsoever br iwll back updatebr br truly thanks making nice looking budget friendly functional case,gorgeous deep jewel tone purple pretty design functional secure wallet pretty much use wallet case like protection holder expensive wallet case 3xl seems dont one yet 4xl needed something meantime took chance ordering case must say color outstanding deep gorgeous purple end darker pictured clearly purple almost black purple make sense also love design front cover magnetic closure tab rear plain yet also attractive optional strap come seems sturdy enough attached though dont often find using like take find irksomebr br interior 3 slot bank card whatever well longer slot paper money every wallet case ever opening isnt long enough slide money always fold problem usually carry little extra cash leave wad money lol actual walletbr br magnetic closure sturdy solid grab case keep closed easy open neededbr br built kick stand basically allowing phone rest horizontally inside cover worksbr br impressed color want two color well swap outbr br cutout around rear camera perfect zero issue haziness obstructionbr br fan wallet style phone case use hold bank card slot also get screen protector say 3xl another wallet case card began etch screen dont think matter brand wallet quality reality hard card hitting screen made sure buy screen protector time around scratching protector actual phonebr br worth like wallet style much wallet part add extra level protection non walletcover style case offer prefer phone covered side interior case part hold onto phone well like wallet aspect tend go store phone rather bring purse complaintsbr br complaint whatsoever br iwll back updatebr br truly thanks making nice looking budget friendly functional case,positive,2019,Phone Case
5.0,Spigen Liquid Air case for Galaxy S-pen,"Works as advertised. After doing research on which S-pen case to use which there are only two Spigen and Samsung at the time of my purchase. I decided to go with the Spigen case since I have used their products before, great quality. This case is nice, slim, light weight, but strong enough to hold the phone tightly and holds the S-pen in its place and will not fall off but also easy to pull it out when you need to use it. I purchased this case some time ago but have not used it much only when I need to use my S-pen. Usually I only use my S21 Ultra with another Spigen case.",2021-05-04 22:32:03,0,True,spigen liquid air case galaxy spen,work advertised research spen case use two spigen samsung time purchase decided go spigen case since used product great quality case nice slim light weight strong enough hold phone tightly hold spen place fall also easy pull need use purchased case time ago used much need use spen usually use s21 ultra another spigen case,spigen liquid air case galaxy spen work advertised research spen case use two spigen samsung time purchase decided go spigen case since used product great quality case nice slim light weight strong enough hold phone tightly hold spen place fall also easy pull need use purchased case time ago used much need use spen usually use s21 ultra another spigen case,positive,2021,Phone Case
5.0,Best,The best trail mix on the market.,2017-08-01 13:41:14,0,True,best,best trail mix market,best best trail mix market,positive,2017,Electric Stove
1.0,Absolute GARBAGE!!!,They totally lied! Its flimsy plexiglass and its not the size they say it is!,2022-03-02 21:37:00,3,True,absolute garbage,totally lied flimsy plexiglas size say,absolute garbage totally lied flimsy plexiglas size say,positive,2022,Screen Protector
5.0,Protection screen,Very easy to put on with the guides,2019-12-20 20:17:11,0,True,protection screen,easy put guide,protection screen easy put guide,positive,2019,Screen Protector
5.0,Nice texture and feel. Compliments pixel 6 pro well.,"Very happy with this case. I tried several others including other Spigen cases, and this was my favorite.",2021-12-07 20:19:59,0,True,nice texture feel compliment pixel 6 pro well,happy case tried several others including spigen case favorite,nice texture feel compliment pixel 6 pro well happy case tried several others including spigen case favorite,positive,2021,Screen Protector
5.0,Great fit,Very pretty and fits great,2021-02-19 07:50:54,0,True,great fit,pretty fit great,great fit pretty fit great,positive,2021,Electric Stove
4.0,Four Stars,works OK,2017-11-24 06:27:38,0,True,four star,work ok,four star work ok,positive,2017,Electric Stove
5.0,It works really well,"It works great, my phone fits snug, it’s got a great grip the clip has rubber on it and it fits as tight as you make it, there are no suction cups. I’ve had ones with suction cups in the past and they eventually stop working due to the South Louisiana heat. Every one of them has failed. I won’t have that problem with this mount and since La is about to pass a hands free law, it will help me keep both hands on the wheel when I need navigation. Thank you for a great product",2019-07-29 11:53:35,0,False,work really well,work great phone fit snug got great grip clip rubber fit tight make suction cup ive one suction cup past eventually stop working due south louisiana heat every one failed wont problem mount since la pas hand free law help keep hand wheel need navigation thank great product,work really well work great phone fit snug got great grip clip rubber fit tight make suction cup ive one suction cup past eventually stop working due south louisiana heat every one failed wont problem mount since la pas hand free law help keep hand wheel need navigation thank great product,positive,2019,Phone Case
5.0,So pretty on my daughter's phone,"I bought her this case because, well, we didn't need to worry about screen protection since she's already dropped it and cracked up the screen.  I didn't notice when I ordered it (or when I came back to review it) that it came with a screen protector.  I put it away though because it would bubble.  If you saw her screen you'd known it would bubble.  No sense in even trying it.  Anyway, I'm getting off topic.  It looks really gorgeous on her phone.  I was surprised as well by the muticolored glitter.  We'd thought it was going to be all purple.  I'd also bought a popsocket with a blue purple and pink nebula on it (it was mine but she insisted, and, well, I admit she's kinda spoiled lol) and it's all matchy matchy.  I'm happy with this purchase.",2018-10-11 03:29:45,1,True,pretty daughter phone,bought case well didnt need worry screen protection since shes already dropped cracked screen didnt notice ordered came back review came screen protector put away though would bubble saw screen youd known would bubble sense even trying anyway im getting topic look really gorgeous phone surprised well muticolored glitter wed thought going purple id also bought popsocket blue purple pink nebula mine insisted well admit shes kinda spoiled lol matchy matchy im happy purchase,pretty daughter phone bought case well didnt need worry screen protection since shes already dropped cracked screen didnt notice ordered came back review came screen protector put away though would bubble saw screen youd known would bubble sense even trying anyway im getting topic look really gorgeous phone surprised well muticolored glitter wed thought going purple id also bought popsocket blue purple pink nebula mine insisted well admit shes kinda spoiled lol matchy matchy im happy purchase,positive,2018,Phone Case
5.0,Excellent value for the money!,This a a good value. The tripod was worth the price alone!,2020-09-11 20:09:25,0,True,excellent value money,good value tripod worth price alone,excellent value money good value tripod worth price alone,positive,2020,Phone Charger
5.0,AMAZING CELL PHONE BOOSTER SET for LARGE SIZED HOMES & YARDS!,"There are few things more frustrating than not having a cell phone signal at your home.  Currently many families have dropped their landlines and rely solely on their cell phones so maintaining a strong, dependable signal is more important than ever.<br /><br />I’ve had the opportunity to test and review a few different versions of the HiBoost cell phone signal boosters.  There are some differences between the systems but each of them work really well.  Depending on your specific requirements and area you need to cover, you should determine which set will best suit your needs.<br /><br />This review is specific to the HiBoost 10K Smart Link for coverage of 4,000 - 10,000 square feet.<br /><br />It is important to understand that these systems require INSTALLATION - IT IS NOT SOMETHING THAT YOU’LL JUST PLUG IN AND HAVE A BOOST IN YOUR SIGNAL.  That being said, I did not find installation overly difficult - although it did require a bit of time.  YOU WILL HAVE TO GET ON YOUR ROOF AND RUN WIRE.  If you are unwilling to do this, or hire someone to do it for you, this is not a product for you.<br /><br />In regards to this antenna booster set - it is absolutely professional grade.  While there are other “cell phone boosters” that attach to your phone but do nothing this utilizes an exterior antenna that relays the signal to the interior module which then boosts the signal prior to sending it to the interior antenna which provides the entire house (and yard) with a solid signal.  I am far from a cell phone signal expert - I followed the instructions and installed my set and my signal strength more than doubled.<br /><br />I used to have a few dead spots within my house which would drive me crazy - but those are gone.  While I used to have 1-2 bars within my house, I now have a solid 4-5 bars - and no dropped calls.  While it is still true that the farther you move from the interior antenna, or the more obstacles (walls) blocking the signal, the weaker the signal is that you receive, I found with this set, the signal is amplified to such a degree that the loss of signal didn’t hamper reception.<br /><br />This set is PERFECT if your cell signal is weak, or you have dead zones within your home or office, and you need to boost it so you can rely on your cell phone.  This will boost not only your ability to call without reception being lost but data will transfer more quickly and reliably over your cellular service.<br /><br />I can see how this set could be especially helpful for those who travel in an RV or camper.  It would only require hoisting the exterior antenna and fixing the direction in order to pick up the closest cell tower and then regardless of where you are located you will have cell phone reception.<br /><br />Something to note - the app is quite invasive with the information it requires and really does not do anything that can not be done using the LCD screen on the interior unit.  Personally I’m leery of foreign apps that require personal information in order to register them.  Due to the type of device that this is, I was not willing to risk the security breech on my network.  You’ll have to decide if it’s worth the risk for you.<br /><br />In my extensive testing I found that the effective range in real world conditions, such as within my home, through walls, is around 8,500 - 9,500 square feet.  This system boosted my signal not only within my house but also outside onto my decks and well into my yard.  The farther you move from the interior antenna the lesser the boosted signal but I still found a significant boost.<br /><br />I have tested and reviewed several similar products by this brand and others and this one, outperformed all the others.  All of the systems that actually work will have similar installation and set up procedures but in the end this set will provide you the reception that you want and need.<br /><br />This is a very solid, well built system that does what it claims.  While it will require a few hours to set up, I found it well worth the effort.  This is an excellent product that I definitely recommend.<br /><br />⭐️As with all Drew’s Reviews, if I discover something new about this product - good or bad - I will UPDATE my review.  I believe in creating detailed, unbiased, complete reviews because, like you, I depend on reviews when I am shopping.  If you found this review HELPFUL - please click ⬇️ below, to let me know!⭐️",2019-09-27 13:00:06,1,False,amazing cell phone booster set large sized home yard,thing frustrating cell phone signal home currently many family dropped landline rely solely cell phone maintaining strong dependable signal important everbr br ive opportunity test review different version hiboost cell phone signal booster difference system work really well depending specific requirement area need cover determine set best suit needsbr br review specific hiboost 10k smart link coverage 4000 10000 square feetbr br important understand system require installation something youll plug boost signal said find installation overly difficult although require bit time get roof run wire unwilling hire someone product youbr br regard antenna booster set absolutely professional grade cell phone booster attach phone nothing utilizes exterior antenna relay signal interior module boost signal prior sending interior antenna provides entire house yard solid signal far cell phone signal expert followed instruction installed set signal strength doubledbr br used dead spot within house would drive crazy gone used 12 bar within house solid 45 bar dropped call still true farther move interior antenna obstacle wall blocking signal weaker signal receive found set signal amplified degree loss signal didnt hamper receptionbr br set perfect cell signal weak dead zone within home office need boost rely cell phone boost ability call without reception lost data transfer quickly reliably cellular servicebr br see set could especially helpful travel rv camper would require hoisting exterior antenna fixing direction order pick closest cell tower regardless located cell phone receptionbr br something note app quite invasive information requires really anything done using lcd screen interior unit personally im leery foreign apps require personal information order register due type device willing risk security breech network youll decide worth risk youbr br extensive testing found effective range real world condition within home wall around 8500 9500 square foot system boosted signal within house also outside onto deck well yard farther move interior antenna lesser boosted signal still found significant boostbr br tested reviewed several similar product brand others one outperformed others system actually work similar installation set procedure end set provide reception want needbr br solid well built system claim require hour set found well worth effort excellent product definitely recommendbr br drew review discover something new product good bad update review believe creating detailed unbiased complete review like depend review shopping found review helpful please click let know,amazing cell phone booster set large sized home yard thing frustrating cell phone signal home currently many family dropped landline rely solely cell phone maintaining strong dependable signal important everbr br ive opportunity test review different version hiboost cell phone signal booster difference system work really well depending specific requirement area need cover determine set best suit needsbr br review specific hiboost 10k smart link coverage 4000 10000 square feetbr br important understand system require installation something youll plug boost signal said find installation overly difficult although require bit time get roof run wire unwilling hire someone product youbr br regard antenna booster set absolutely professional grade cell phone booster attach phone nothing utilizes exterior antenna relay signal interior module boost signal prior sending interior antenna provides entire house yard solid signal far cell phone signal expert followed instruction installed set signal strength doubledbr br used dead spot within house would drive crazy gone used 12 bar within house solid 45 bar dropped call still true farther move interior antenna obstacle wall blocking signal weaker signal receive found set signal amplified degree loss signal didnt hamper receptionbr br set perfect cell signal weak dead zone within home office need boost rely cell phone boost ability call without reception lost data transfer quickly reliably cellular servicebr br see set could especially helpful travel rv camper would require hoisting exterior antenna fixing direction order pick closest cell tower regardless located cell phone receptionbr br something note app quite invasive information requires really anything done using lcd screen interior unit personally im leery foreign apps require personal information order register due type device willing risk security breech network youll decide worth risk youbr br extensive testing found effective range real world condition within home wall around 8500 9500 square foot system boosted signal within house also outside onto deck well yard farther move interior antenna lesser boosted signal still found significant boostbr br tested reviewed several similar product brand others one outperformed others system actually work similar installation set procedure end set provide reception want needbr br solid well built system claim require hour set found well worth effort excellent product definitely recommendbr br drew review discover something new product good bad update review believe creating detailed unbiased complete review like depend review shopping found review helpful please click let know,positive,2019,Phone Battery
3.0,I don't like the stick on screen protector,"I wish I hade read more on this before I ordered it for my wife. I bought one, a different brand, that I like a lot. It has a clear piece of plastic that covers the screen and protects it from scratches. I have not EVER liked the ones that you stick to the screen, like this one has. Good luck getting it on without a finger print or a speck of dust getting on it while installing it. Also, the rubber feels super cheap and flimsy compared to mine. The only reason I chose this one was because she wanted one in green, and the one I ordered didn't come in green. So I took a chance. For the cost, it's not a huge deal but my experience with those sticky screen protectors has been that eventually, they lose their stick and you get bubbles that are impossible to get rid of. Won't buy again.",2022-09-27 19:13:47,1,True,dont like stick screen protector,wish hade read ordered wife bought one different brand like lot clear piece plastic cover screen protects scratch ever liked one stick screen like one good luck getting without finger print speck dust getting installing also rubber feel super cheap flimsy compared mine reason chose one wanted one green one ordered didnt come green took chance cost huge deal experience sticky screen protector eventually lose stick get bubble impossible get rid wont buy,dont like stick screen protector wish hade read ordered wife bought one different brand like lot clear piece plastic cover screen protects scratch ever liked one stick screen like one good luck getting without finger print speck dust getting installing also rubber feel super cheap flimsy compared mine reason chose one wanted one green one ordered didnt come green took chance cost huge deal experience sticky screen protector eventually lose stick get bubble impossible get rid wont buy,positive,2022,Screen Protector
5.0,An Absolute Must,"I use this bluetooth headphone daily at work.  I use it in the ear facing the window so no one knows unless they walk into my office and i have to take it out to talk to them.  Its great, the sound is just right for the office.  I would definitely recommend anyone to purchase it.  When i go to meetings, i just plug it in to recharge.  I actually leave it at work plugged in at night and on the weekends.  This is a must buy.",2018-04-01 20:43:40,0,False,absolute must,use bluetooth headphone daily work use ear facing window one know unless walk office take talk great sound right office would definitely recommend anyone purchase go meeting plug recharge actually leave work plugged night weekend must buy,absolute must use bluetooth headphone daily work use ear facing window one know unless walk office take talk great sound right office would definitely recommend anyone purchase go meeting plug recharge actually leave work plugged night weekend must buy,positive,2018,Phone Charger
5.0,Works Better Than Bulky Cases,"I've always been a person who bought otterboxes and other bulky phone cases. If it didn't have a silicone/rubber layer and then a hard case, I never wanted it. I've had such bad experiences with clear cases before that I never believed it worked.<br /><br />But then in November 2020, I decided to upgrade my phone. I got a pretty color of the S20+ and it was a shame to hide it in the bulky case I bought. Especially since I don't travel as often as I used to. I decided to have 2 cases - One for going out (bulky) the other clear for when I'm at home.<br /><br />Needless to say this case has been on my phone since December 2020 and is still going strong. It has been dropped 5 ft onto tile and concrete. It flew from my car holder and slammed into the floor. I have literally dropped this so many times and I'm shocked it's not very scratched.<br /><br />I've had my old iphones break from simply from my pocket onto the ground when getting out of my chair in an otterbox! I highly recommend this case and have bought hybrid cases for all my family and friends. They also love it.",2021-07-02 06:47:28,3,True,work better bulky case,ive always person bought otterboxes bulky phone case didnt siliconerubber layer hard case never wanted ive bad experience clear case never believed workedbr br november 2020 decided upgrade phone got pretty color s20 shame hide bulky case bought especially since dont travel often used decided 2 case one going bulky clear im homebr br needless say case phone since december 2020 still going strong dropped 5 ft onto tile concrete flew car holder slammed floor literally dropped many time im shocked scratchedbr br ive old iphones break simply pocket onto ground getting chair otterbox highly recommend case bought hybrid case family friend also love,work better bulky case ive always person bought otterboxes bulky phone case didnt siliconerubber layer hard case never wanted ive bad experience clear case never believed workedbr br november 2020 decided upgrade phone got pretty color s20 shame hide bulky case bought especially since dont travel often used decided 2 case one going bulky clear im homebr br needless say case phone since december 2020 still going strong dropped 5 ft onto tile concrete flew car holder slammed floor literally dropped many time im shocked scratchedbr br ive old iphones break simply pocket onto ground getting chair otterbox highly recommend case bought hybrid case family friend also love,positive,2021,Phone Case
5.0,The Best,"This brand makes the best cell phone booster kits on the market. They're ideal for when you're going to either pass through or stay in places with spotty cell reception. The RV kit is very easy to install. The box pretty much tells you how to do it. There's even a handle on the side of the box for easy carrying. Since our phones are everything now, why not invest in the tech that allows you to use it everywhere you go. With so many of us traveling by RV these days, this kit is almost a necessity. I highly recommend this product.<br /><br />Thanks so much for taking the time to read this review. I hope the information that I've provided makes your decision a little easier.",2020-11-24 20:09:27,7,False,best,brand make best cell phone booster kit market theyre ideal youre going either pas stay place spotty cell reception rv kit easy install box pretty much tell there even handle side box easy carrying since phone everything invest tech allows use everywhere go many u traveling rv day kit almost necessity highly recommend productbr br thanks much taking time read review hope information ive provided make decision little easier,best brand make best cell phone booster kit market theyre ideal youre going either pas stay place spotty cell reception rv kit easy install box pretty much tell there even handle side box easy carrying since phone everything invest tech allows use everywhere go many u traveling rv day kit almost necessity highly recommend productbr br thanks much taking time read review hope information ive provided make decision little easier,positive,2020,Phone Charger
5.0,Very secure without adding too much mass to the phone,I like the fact that the corners have extra protection and that the  case also extends past front side of the phone so that the screen is off of the table when placed screen side down.  I have no issues using wireless charging with this case and it doesnt affect my screen protector.,2018-11-13 02:15:08,0,True,secure without adding much mass phone,like fact corner extra protection case also extends past front side phone screen table placed screen side issue using wireless charging case doesnt affect screen protector,secure without adding much mass phone like fact corner extra protection case also extends past front side phone screen table placed screen side issue using wireless charging case doesnt affect screen protector,positive,2018,Screen Protector
5.0,Works well,"Great product, light, strong magnets, charges quick. Annoying that you can't shut it off but it turns on automatically which is nice.",2022-01-14 19:09:30,0,True,work well,great product light strong magnet charge quick annoying cant shut turn automatically nice,work well great product light strong magnet charge quick annoying cant shut turn automatically nice,positive,2022,Phone Charger
5.0,very good and reasonably priced.,"I bought 3 screen protectors at the store for $10.  I purchased 5 for under $2.  Screen protectors last me about 3-4 months, so I am set for more than a year.  By that time I should be due for a new phone.",2013-12-29 18:57:56,0,True,good reasonably priced,bought 3 screen protector store 10 purchased 5 2 screen protector last 34 month set year time due new phone,good reasonably priced bought 3 screen protector store 10 purchased 5 2 screen protector last 34 month set year time due new phone,positive,2013,Screen Protector
5.0,Five Stars,I enjoy having everything I need in this in one pocket and my keys in the other.  Perfect but after a month of using it the credit card seam tore and I bought another. So it is hard to get cards out of the pockets. I do love the product.,2017-04-14 00:20:46,0,True,five star,enjoy everything need one pocket key perfect month using credit card seam tore bought another hard get card pocket love product,five star enjoy everything need one pocket key perfect month using credit card seam tore bought another hard get card pocket love product,positive,2017,Screen Protector
4.0,Overall good,A bit fully and a little harder to hold my phone with. There is a lot around your phone with this one! It has come unsnapped a few times randomly doesn’t I took a star off but overall good case.,2020-09-30 03:51:27,0,False,overall good,bit fully little harder hold phone lot around phone one come unsnapped time randomly doesnt took star overall good case,overall good bit fully little harder hold phone lot around phone one come unsnapped time randomly doesnt took star overall good case,positive,2020,Phone Case
